,date,active_energy_kj,exercise_time_min,stand_time_min,basal_energy_burned_kj,resting_heart_rate_count_min,asleep_min_acitvity,min_in_bed_activity,step_count
184,2022-04-03,2961.0,36.0,192.0,8858.0,57.0,,,10484.0
185,2022-04-04,1331.0,8.0,55.0,8371.0,54.0,401.3406587680181,515.4070910533269,3285.0
186,2022-04-05,639.75,,25.0,8029.0,57.0,754.5564349551993,930.339289488395,1135.0
187,2022-04-06,1061.0,4.0,18.0,8403.0,59.0,465.4735127349694,460.46771896084147,1444.0
188,2022-04-07,1335.0,7.0,44.0,8508.0,54.0,183.51783847212792,264.06605788270633,2500.0
189,2022-04-08,1540.0,11.0,52.0,8541.0,53.0,379.05947539011635,379.05947539011635,3132.0
190,2022-04-09,1076.0,,23.0,8405.0,65.0,464.4184193809827,524.7649444103241,1510.0
191,2022-04-10,1234.0,4.0,26.0,8452.0,53.0,458.6654758056004,550.4488947113355,1902.0
192,2022-04-11,1065.0,,10.0,8431.0,54.0,417.7860792398452,480.0154683788617,1582.0
193,2022-04-12,3088.0,66.0,122.0,8759.0,51.0,494.29083297451336,547.1241529524327,8662.0
194,2022-04-13,2231.0,27.0,88.0,8893.0,64.0,522.7639367322126,698.9475353340308,6354.0
195,2022-04-14,2358.0,40.0,128.0,8819.0,54.0,,,7402.0
196,2022-04-15,982.03,,22.0,8001.0,56.0,587.372576580445,760.8059249460698,1202.0
197,2022-04-16,1312.0,5.0,36.0,8222.0,48.0,407.304935147365,461.98185853759446,2170.0
198,2022-04-17,1875.0,13.0,58.0,8501.0,54.0,401.07267439961436,461.3226941168308,4133.0
199,2022-04-18,3604.0,62.0,205.0,8733.0,60.0,,,13713.0
200,2022-04-19,1727.0,19.0,64.0,8801.0,52.0,367.61355770428975,367.61355770428975,4157.0
201,2022-04-20,2382.0,22.0,116.0,9203.0,58.0,250.89632690946257,273.62624325553577,6704.0
202,2022-04-21,2011.0,16.0,126.0,8870.0,55.0,,,6061.0
203,2022-04-22,1679.0,1.0,47.0,9124.0,52.0,513.6730814715227,638.0728329241275,2410.0
204,2022-04-23,1806.0,24.0,113.0,8671.0,51.0,343.7923364639283,343.7923364639283,6758.0
205,2022-04-24,733.34,,11.0,8476.0,51.0,611.3724850594998,669.3057253658773,1047.0
206,2022-04-25,2154.0,22.0,94.0,9068.0,52.0,535.1466803034147,565.376657764117,4344.0
207,2022-04-26,2172.0,20.0,107.0,9172.0,50.0,,,5453.0
208,2022-04-27,1964.0,15.0,94.0,9056.0,54.0,,,4615.0
209,2022-04-28,1883.0,17.0,64.0,9041.0,50.0,,,3540.0
210,2022-04-29,2059.0,11.0,90.0,9160.0,54.0,441.56990901827817,441.56990901827817,4392.0
211,2022-04-30,1354.0,1.0,32.0,8888.0,53.0,386.32616341312723,386.32616341312723,1639.0
212,2022-05-01,1144.0,6.0,22.0,8630.0,51.0,431.5011020819346,462.1677466193835,1957.0
213,2022-05-02,1672.0,9.0,72.0,8909.0,53.0,49.74988060593605,49.74988060593605,3285.0
214,2022-05-03,2293.0,17.0,146.0,9093.0,58.0,,,5855.0
215,2022-05-04,2241.0,11.0,111.0,9206.0,47.0,450.41179698705673,508.41181236902867,5383.0
216,2022-05-05,2066.0,18.0,109.0,9132.0,48.0,426.5452757358551,454.3785947004954,4655.0
217,2022-05-06,2652.0,24.0,133.0,9409.0,62.0,,,7290.0
218,2022-05-07,3086.0,43.0,135.0,9087.0,49.0,512.2926879107952,536.6760223289331,8336.0
219,2022-05-08,2519.0,21.0,154.0,8998.0,51.0,498.2926037152607,534.4258695721626,8508.0
220,2022-05-09,2147.0,20.0,99.0,9064.0,43.0,476.4930630683899,556.38908273379,5869.0
221,2022-05-10,3413.0,37.0,278.0,9214.0,67.0,,,14184.0
222,2022-05-11,3485.0,31.0,267.0,9448.0,57.0,220.1796418150266,220.1796418150266,12713.0
223,2022-05-12,3209.0,12.0,233.0,9400.0,50.0,,,11821.0
224,2022-05-13,2488.0,26.0,135.0,9158.0,50.0,433.16290665070215,457.16291189193726,7039.0
225,2022-05-14,1078.0,2.0,31.0,8591.0,49.0,630.1659570157527,659.3826183458169,1756.0
226,2022-05-15,847.84,,5.0,8513.0,51.0,519.6013679762682,519.6013679762682,917.0
227,2022-05-16,2230.0,7.0,130.0,9176.0,47.0,369.4711547831695,419.00421651800474,5937.0
228,2022-05-17,3751.0,26.0,286.0,9549.0,49.0,,,14536.0
229,2022-05-18,3111.0,18.0,236.0,9363.0,53.0,119.78158159852029,119.78158159852029,12547.0
230,2022-05-19,4384.0,13.0,387.0,9680.0,46.0,383.3013470371565,437.38421914180117,17839.0
231,2022-05-20,2802.0,13.0,207.0,9030.0,49.0,,,11475.0
232,2022-05-21,1428.0,6.0,56.0,8201.0,44.0,515.1802729388078,515.1802729388078,3847.0
233,2022-05-22,1024.0,,6.0,8671.0,47.0,109.88146597544353,109.88146597544353,1267.0
234,2022-05-23,3619.0,26.0,256.0,9309.0,43.0,,,15858.0
235,2022-05-24,3729.0,13.0,322.0,9436.0,48.0,378.2427613476912,498.08859664797785,14980.0
236,2022-05-25,1980.0,9.0,123.0,9138.0,54.0,,,4484.0
237,2022-05-26,2253.0,10.0,123.0,9204.0,46.0,559.9163656135399,590.249662421147,5639.0
238,2022-05-27,2964.0,10.0,222.0,9375.0,51.0,219.84593502283093,398.8219620227814,10191.0
239,2022-05-28,1144.0,3.0,15.0,8736.0,53.0,65.66664303143821,65.66664303143821,1565.0
240,2022-05-29,1051.0,6.0,30.0,8585.0,49.0,366.10796966751417,366.10796966751417,1645.0
241,2022-05-30,1887.0,3.0,72.0,9004.0,47.0,505.8240112364292,505.8240112364292,4671.0
242,2022-05-31,1086.0,,7.0,8763.0,46.0,536.0895191470781,536.0895191470781,1192.0
243,2022-06-01,1643.0,4.0,61.0,8957.0,45.0,369.967460668087,369.967460668087,3333.0
244,2022-06-02,3159.0,31.0,165.0,9284.0,46.0,790.317722707987,581.2908264835675,9753.0
245,2022-06-03,1799.0,3.0,38.0,9198.0,51.0,289.4942798991998,289.4942798991998,2918.0
246,2022-06-04,1325.0,7.0,48.0,8707.0,56.0,70.11469801664353,70.11469801664353,2490.0
247,2022-06-05,1376.0,,16.0,8992.0,53.0,625.1157131910323,646.3448618888854,1777.0
248,2022-06-06,1427.0,,11.0,9118.0,50.0,,,1358.0
249,2022-06-07,2399.0,2.0,142.0,9285.0,48.0,404.49395382006963,433.5576713959376,7363.0
250,2022-06-08,1569.0,2.0,76.0,8914.0,47.0,305.49473883509637,335.3272848467032,2507.0
251,2022-06-09,4051.0,28.0,388.0,9255.0,54.0,,,16906.0
252,2022-06-10,1417.0,6.0,52.0,8738.0,60.0,,,4199.0
253,2022-06-11,4326.0,55.0,327.0,9536.0,43.0,395.5425882001718,395.5425882001718,16670.0
254,2022-06-12,1499.0,11.0,46.0,8748.0,47.0,379.27403016885125,379.27403016885125,3323.0
255,2022-06-13,1066.0,,10.0,8425.0,47.0,,,1505.0
256,2022-06-14,1214.0,2.0,29.0,8368.0,46.0,1185.947773273786,1244.7807534535727,2303.0
257,2022-06-15,1747.0,11.0,73.0,8519.0,44.0,957.9462375481924,1014.9462204058966,4376.0
258,2022-06-16,1671.0,9.0,49.0,8910.0,50.0,,,2840.0
259,2022-06-17,1725.0,,58.0,9116.0,44.0,381.67757142980895,381.67757142980895,2428.0
260,2022-06-18,1286.0,,38.0,8790.0,60.0,,,1912.0
261,2022-06-19,1098.0,3.0,28.0,8639.0,57.0,,,1815.0
262,2022-06-20,3757.0,14.0,318.0,9575.0,46.0,357.2118615309398,355.4627704262734,12392.0
263,2022-06-21,1551.0,11.0,65.0,8814.0,54.0,71.08334568540255,71.08334568540255,2929.0
264,2022-06-22,1340.0,,23.0,8887.0,51.0,384.7301722347737,384.7301722347737,1913.0
265,2022-06-23,980.54,5.0,16.0,8557.0,56.0,,,2240.0
266,2022-06-24,1161.0,5.0,30.0,8707.0,51.0,,,2444.0
267,2022-06-25,2831.0,25.0,171.0,9156.0,46.0,233.01268938581146,233.01268938581146,9799.0
268,2022-06-26,953.15,,4.0,8624.0,50.0,110.05047978361446,110.05047978361446,1033.0
269,2022-06-27,734.46,,5.0,8440.0,45.0,551.574719285965,551.574719285965,785.56
270,2022-06-28,1502.0,2.0,56.0,8811.0,61.0,,,4041.0
271,2022-06-29,1115.0,,26.0,8532.0,47.0,445.33579812447226,494.6528848568598,1918.0
272,2022-06-30,3443.0,61.0,184.0,9245.0,59.0,,,12894.0
273,2022-07-01,1613.0,4.0,78.0,8932.0,63.0,567.9339423934617,567.9339423934617,3163.0
274,2022-07-02,3134.0,25.0,242.0,9415.0,46.0,347.2237976749738,375.3904282132784,10747.0
275,2022-07-03,2165.0,28.0,112.0,8881.0,53.0,234.91227087378502,234.91227087378502,10718.0
276,2022-07-04,1034.0,4.0,29.0,8481.0,47.0,525.8723764359951,729.4303574939569,2371.0
277,2022-07-05,2030.0,13.0,139.0,8804.0,49.0,304.58206003109615,304.58206003109615,6981.0
278,2022-07-06,2031.0,3.0,83.0,9194.0,49.0,,,3355.0
279,2022-07-07,1400.0,10.0,47.0,8737.0,54.0,,,3007.0
280,2022-07-08,1844.0,5.0,78.0,9034.0,51.0,380.0633165538311,380.0633165538311,5267.0
281,2022-07-09,1102.0,2.0,29.0,8649.0,47.0,,,2390.0
282,2022-07-10,1436.0,3.0,20.0,8962.0,47.0,435.9594797114531,435.9594797114531,1862.0
283,2022-07-11,1853.0,,104.0,9123.0,56.0,,,5494.0
284,2022-07-12,1971.0,2.0,113.0,8986.0,53.0,440.4681242624918,470.78476526339847,6331.0
285,2022-07-13,837.32,,14.0,8521.0,52.0,,,1591.0
286,2022-07-14,1606.0,12.0,26.0,8943.0,47.0,457.4224980056286,457.4224980056286,2116.0
287,2022-07-15,2362.0,22.0,103.0,9020.0,47.0,,,6787.0
288,2022-07-16,2636.0,20.0,214.2,8982.0,49.0,429.3755575696627,429.3755575696627,5356.0
289,2022-07-17,1655.0,35.0,18.0,8588.0,53.0,,,1348.0
290,2022-07-18,2329.0,31.0,128.0,8719.0,62.0,,,7128.0
291,2022-07-19,617.39,9.0,9.6,7948.0,52.0,,,1461.0
292,2022-07-20,1393.0,2.0,50.0,8385.0,53.0,,,3695.0
293,2022-07-21,1459.0,14.0,27.0,8506.0,48.0,439.234191095829,471.6966913421949,2173.0
294,2022-07-22,1958.0,13.0,60.0,9003.0,56.0,,,4210.0
295,2022-07-23,1819.0,17.0,42.0,8775.0,56.0,,,2878.0
296,2022-07-24,3303.0,13.0,29.2,9255.0,50.0,,,1855.0
297,2022-07-25,4321.0,34.0,304.0,9591.0,45.0,354.7565980017185,383.6569928983847,18250.0
298,2022-07-26,1395.0,2.0,69.0,8505.0,57.0,410.1887605388959,439.23040322065356,3801.0
299,2022-07-27,1108.0,1.0,21.0,8146.0,49.0,450.7128550648689,543.6728708922863,2308.0
300,2022-07-28,2094.0,16.0,107.0,8664.0,49.0,410.62651372353236,410.62651372353236,4993.0
301,2022-07-29,1565.0,12.0,22.0,8772.0,43.0,,,2035.0
302,2022-07-30,1793.0,16.0,50.0,8801.0,44.0,370.0358361025651,370.0358361025651,4126.0
303,2022-07-31,1423.0,7.0,62.0,8713.0,51.0,216.27568912307424,216.27568912307424,2617.0
304,2022-08-01,1987.0,14.0,91.0,8923.0,46.0,64.54163925250371,64.54163925250371,6870.0
305,2022-08-02,1516.0,7.0,77.0,8647.0,47.0,356.50764932632444,382.17442058324815,7050.0
306,2022-08-03,1181.0,3.0,57.0,7801.0,52.0,,,5148.0
307,2022-08-04,330.48,6.0,5.0,7709.0,43.0,390.87645577987035,390.87645577987035,6542.0
308,2022-08-05,551.96,7.0,33.0,5318.0,,,,5543.0
309,2022-08-06,,,,,,,,2917.0
310,2022-08-07,72.05,,,,47.0,,,3475.0
311,2022-08-08,2863.0,35.0,181.0,8865.0,46.0,84.3753899315993,84.3753899315993,9246.0
312,2022-08-09,2201.0,14.0,144.0,8557.0,47.0,,,8470.0
313,2022-08-10,1577.0,3.0,28.0,8420.0,48.0,476.7409189184507,476.7409189184507,2826.0
314,2022-08-11,2288.0,12.0,173.0,8858.0,44.0,,,7954.0
315,2022-08-12,2274.0,8.0,176.0,9045.0,49.0,37.76665673057238,37.76665673057238,6912.0
316,2022-08-13,3644.0,44.0,224.0,9331.0,44.0,,,13470.0
317,2022-08-14,3692.0,73.0,218.0,8410.0,55.0,,,20839.0
318,2022-08-15,2700.0,26.0,151.0,8831.0,50.0,470.90490395824116,470.90490395824116,9352.0
319,2022-08-16,2078.0,19.0,147.0,8476.0,47.0,653.027272417148,566.4307443201542,6187.0
320,2022-08-17,2998.0,30.0,165.0,8980.0,51.0,,,9501.0
321,2022-08-18,2709.0,10.0,190.0,8796.0,49.0,339.9071736017863,360.08654725551605,9826.0
322,2022-08-19,1756.0,12.0,67.0,8355.0,51.0,424.9508294622104,424.9508294622104,5053.0
323,2022-08-20,2436.0,18.0,193.0,8787.0,47.0,398.0781338651975,422.744817229112,6994.0
324,2022-08-21,1770.0,2.0,75.0,8623.0,51.0,700.5394768774509,958.7137564520041,2992.0
325,2022-08-22,1148.0,3.0,27.0,8102.0,53.0,452.3384427626927,487.6719886581103,2827.0
326,2022-08-23,3016.0,28.0,198.0,8604.0,57.0,,,10884.0
327,2022-08-24,1783.0,13.0,86.0,8801.0,47.0,379.8966069638729,379.8966069638729,4808.0
328,2022-08-25,1423.0,9.0,29.0,8724.0,48.0,355.81856958468757,355.81856958468757,2989.0
329,2022-08-26,1139.0,7.0,24.0,8546.0,47.0,427.43489048878354,611.0680988550187,2486.0
330,2022-08-27,2089.0,3.0,93.0,9001.0,45.0,470.20942505796756,501.042774150769,6891.0
331,2022-08-28,1688.0,6.0,105.0,8831.0,60.0,533.9955036600431,555.6621671875317,7225.0
332,2022-08-29,1747.0,11.0,88.0,8842.0,49.0,320.45040001471835,320.45040001471835,3122.0
333,2022-08-30,1383.0,29.0,56.0,8546.0,55.0,298.67538343469306,328.9048135022323,7630.0
334,2022-08-31,1528.0,2.0,48.0,8818.0,47.0,468.2636677801609,500.0970271885396,3401.0
335,2022-09-01,706.14,,,8439.0,46.0,400.0273826301098,400.0273826301098,6051.0
336,2022-09-02,2672.0,32.0,101.0,9121.0,45.0,411.97147613366445,411.97147613366445,7912.0
337,2022-09-03,2210.0,30.0,66.0,8931.0,47.0,,,5836.0
338,2022-09-04,1422.0,,27.0,8874.0,43.0,367.8360815167427,391.9778119444847,2465.0
339,2022-09-05,1238.0,2.0,17.0,8736.0,48.0,,,1872.0
340,2022-09-06,2017.0,21.0,40.0,8703.0,46.0,354.5900486866633,382.6900606989861,3346.0
341,2022-09-07,1373.0,1.0,17.0,8585.0,55.0,,,1950.0
342,2022-09-08,2005.0,21.0,112.0,8563.0,54.0,,,7088.0
343,2022-09-09,3411.0,38.0,280.0,9270.0,55.0,,,11032.0
344,2022-09-10,3622.0,48.0,170.0,9392.0,50.0,336.584023753802,336.584023753802,10162.0
345,2022-09-11,1930.0,5.0,88.0,8978.0,47.0,350.5950281381607,350.5950281381607,3943.0
346,2022-09-12,337.18,,2.0,7564.0,47.0,,,825.19
347,2022-09-13,1248.0,2.0,32.0,8091.0,54.0,232.32514155904454,232.32514155904454,2302.0
348,2022-09-14,2145.0,4.0,78.0,8693.0,48.0,,,5020.0
349,2022-09-15,1798.0,13.0,64.0,8624.0,49.0,398.0868280172348,550.758515059948,4231.0
350,2022-09-16,1385.0,11.0,28.0,8744.0,46.0,441.84057296117146,467.5072595834732,1944.0
351,2022-09-17,1912.0,4.0,60.0,8951.0,54.0,,,5153.0
354,2022-09-20,2187.0,30.0,95.0,8993.0,54.0,,,6336.0
355,2022-09-21,2751.0,46.0,80.0,9069.0,48.0,459.71157667438194,490.94514896273614,5008.0
356,2022-09-22,3782.0,95.0,129.0,8365.0,67.0,,,5402.0
357,2022-09-23,1633.0,2.0,28.0,9201.0,52.0,359.9464913606644,359.9464913606644,2093.0
358,2022-09-24,2512.0,43.0,71.0,9071.0,48.0,,,3132.0
359,2022-09-25,2589.0,39.0,47.0,9195.0,48.0,490.6424837092559,570.871980557839,2456.0
360,2022-09-26,1476.0,3.0,29.0,9029.0,54.0,,,2508.0
361,2022-09-27,1622.0,2.0,44.0,9057.0,50.0,485.14668882489207,520.8140714844068,3481.0
362,2022-09-28,857.84,2.0,19.0,8595.0,46.0,600.963715940714,649.6315150578818,1041.0
363,2022-09-29,1530.0,7.0,31.0,8950.0,45.0,291.74431925018627,320.0776227970918,2622.0
364,2022-09-30,1490.0,4.0,27.0,9006.0,46.0,355.27166142662367,395.6934338788192,2137.0
365,2022-10-01,857.19,,1.0,8488.0,50.0,489.2610861361027,509.58276488582294,337.0
